sex;source;likes;text;label
М;Женские форумы;3;сейчас фемини вылезут и скажут, что лучше никогда не рожать;1
М;Женские форумы;15;[id447939527|Александр], ну им действительно не надо ??;0
М;Женские форумы;3;"[id74254005|Антон], они за всех женщин говорят, потому что их ""варенични"" и ""роскошницы"" не для них";0
М;Женские форумы;21;[id447939527|Александр], мнение абсолютно любого человека, говорящего за всех из какой-либо группы, не учитывается?;2
Ж;Женские форумы;39;[id447939527|Александр], не фемини, конечно, но чекала недавно интервью с рожавшими девушками/женщинами, которые пережили пиздец вселенского масштаба во время беременности и родов, да, лучше никогда не рожать;4
Ж;Женские форумы;11;[id447939527|Alexander], лучше никогда не рожать;0
М;Женские форумы;20;[id576084574|Даша], чекал недавно интервью с трансгендерами, у которых все прошло хорошо во время перехода, да, лучше при первой возможности сменить пол;4
М;Женские форумы;19;[id576084574|Даша], чекал недавно интервью с педофилами, которые кайфанули и не сели, да, лучше спать с детьми;4
М;Женские форумы;17;[id576084574|Даша], чекал недавно интервью с людьми, которые ели говно, и во время поедания, получили удовольствие, да, лучше всегда есть говно;4
М;Женские форумы;3;[id576084574|Даша], ну да, пусть негры и чурки всех перерожают, им можно. ну и русскому не родишь, но чеченцу какому-нибудь) понимаю, что спорю не по логике, но такова фактическая аргументация того, что это необходимо;4
М;Женские форумы;6;[id576084574|Даша], чекал недавно интервью с любителями анального пролапса и уретрального секса, у которых в процессе ничего не порвалось, да, лучше всегда заниматься анальным пролапсом и уретральным сексом;0
Ж;Женские форумы;48;Если рожать, то сома;0
М;Женские форумы;12;[id682377735|Dita], а потом вырастит кАзлина;0
М;Женские форумы;1;если вырос козлина, то воспитала козлина;2
Ж;Женские форумы;1;[id682377735|Dita], если рожать - то леща или скумбрию!;0
Ж;Женские форумы;27;Тупо я в начале каждых месек;0
М;Женские форумы;0;[id376353921|Logvinova], пользуйтесь контроцептивами ?;0
Ж;Женские форумы;2;[id208526688|Makar], они не дают 100% защиты, юзаем презервативы + ппа вместе но трясет от страха каждый раз и каждые месячные это праздник;0
М;Женские форумы;0;[id355248952|Дарьяна], ну это совсем ответственный подход, респект;4
М;Женские форумы;2;[id355248952|Дарьяна], воздержание и молитва, мой друг, воздержание и молитва;0
Ж;Женские форумы;0;[id100647666|Валентин], воздержание тоже не даёт 100% гарантии, меня могут тупо изнасиловать в подворотне;5
М;Женские форумы;18;Не беременна, но это временно;0
Ж;Женские форумы;1;[id323767404|Seryy], вот жиза Свой ребёнок очаровашка конфетка А чужие кривые, косые, тупые вонючки??;2
М;Женские форумы;8;я не беременна, хотя вокруг одни ***;0
М;Женские форумы;17;"Прочитал срач выше и хочу сказать, что рожать не стоит, потому что человечество ошибка и оно должно исчезнуть.  Тем более не стоит выкидывать из себя человека если условия твоего существования не средний класс хотя бы, потому что поставить на ноги кого-то будучи бедным практически невозможно. Я даже не говорю про псих.проблемы про которые в современном обществе начали говорить и усиливаться, так что к тебе пиздюк может прибежать и сказать что у него шиза нужен психолог, ты можешь посмеяться над ним и он тебя возненавидит в будущем за свои проблемы, а можешь помочь, но где взять денег тож непонятно. кидать мне мемчики где пара зарабатывает 300к, а многодетная семья 40к тоже не следует, будем честны, таких мало в процентном соотношении, да и зарабатывая эти 300к на двоих у вас времени на ребенка не будет с большой вероятностью. Слишком большой ритм жизни стал, если вы с пеной у рта не желаете ребенка, то нельзя рожать. Если вы думаете ""а было бы классно"" нельзя рожать, ведь нужно быть готовым принять столь большую ответственность. Вопрос в ещё в том, а нах оно надо, отвечает каждый сам для себя, а вот принижать чужие взгляды и говорить кому ТОЧНО НЕ СТОИТ РОЖАТЬ как это делали выше это уебанство какое-то. Приплетать Европу, где тоже дофига проблем как и везде (нам бы их проблемы) говоря, что там то люди вырождаются, ну серьезно)  Кстати, вижу много частных случаев ""а вот у меня подруга свёкра дядиного соседа рожала и было не больно даже, и деньги нашли, и нацию их ребенок с колен поднял, лично слышал, так что не бойся рожай"" ну это вообще не аргументы. В срач не хочу вступать потому что не вижу смысла.";6
М;Женские форумы;1;[id278388430|Eldar], Европа как и РФ решает проблему демографического спада с помощью эмигрантов. Ток в Европе проблема в том, что люди слишком долго живут(много пенсионеров, мало рожают). А у нас просто мало рожают и/или ливают из страны;4
Ж;Женские форумы;1;[id278388430|Eldar], еще и аргументы про генофонд классные. Все, кого волнует генофонд помрут лет так через 70 и им дела до него не будет совершенно. А что уж говорить о том, что человечество с вероятностью почти в 100% в итоге все равно вымрет..;7
Ж;Женские форумы;0;Малышь)))));0
Ж;Женские форумы;0;??;0
М;Женские форумы;42;А можно другого психиатора ?;0
Ж;Женские форумы;9;Давайте жить дружно;0
М;Женские форумы;13;Да раньше такого не было, это просто либерахи свыше начали пропагандировать феминизм вот с этого вся грязь между полами пошла;5
Ж;Женские форумы;49;[id633943853|Тимур], раньше было тоже, но это была тихая ненависть;5
М;Женские форумы;6;[id652314020|Алина], а вот и фемка появилась щас будет свое моральное дегенератство и ненависть к противоположному полу будет оправдывать;2
Ж;Женские форумы;12;https://vk.com/sticker/1-82241-256;0
М;Женские форумы;0;[id652314020|Алина], не было никакой ненависти, все занимались своими делами и в дупло не дули;5
Ж;Женские форумы;41;[id633943853|Тимур], ну занимайся самообманом, если тебе так нравится;0
М;Женские форумы;5;[id652314020|Алина], вот когда в интернете началось пропаганда девельвация полового института и ненависть к своему происхождению все молодые люди стали уже совсем обезьянами Видите ли для девушек стоять на панели и быть изгоем это гордость;5
М;Женские форумы;41;[id633943853|Тимур], фига се додика занесло сюда. Забавный ты;1
Ж;Женские форумы;2;[id633943853|Тимур], что мы и видим на твоем примере;1
Ж;Женские форумы;20;[id633943853|Тимур], что за ненависть к противоположному полу, дорогуша? Хотят стоять на панели, пусть стоят. Это не твоё дело;0
М;Женские форумы;1;[id652314020|Алина], как я вижу двух обезьян которые двух слов разумных связать не могут а только срут в интернете;2
Ж;Женские форумы;57;Ну и в чем она не права;0
М;Женские форумы;2;[id652314020|Алина], Про легкость разве что. Иногда есть ощущение,что женщина вздохнуть не успевает, а у нее появляется 10 проблем.;0
Ж;Женские форумы;1;По фактам;0
Ж;Женские форумы;3;Думаю, этого психиатра можно вылечить качественным сексом.;2
М;Женские форумы;1;[id300341518|Ааа], Ббб;0
Ж;Женские форумы;0;база;0
М;Женские форумы;7;[id652314020|Алина], ты меня бесишь своим совершенством как внешним так и внутренним. Легкость, возвышенность, наличие восприятия  чувство прекрасного, разумность. Я могу только срать, жрать и спать и внешка у меня как у обезьяны((;2
М;Женские форумы;0;Когда устроилась работать психиатром на зону ??;0
М;Женские форумы;1;Просто к ней только страшные парни подкатывали с внешкой обезьяны;1
М;Женские форумы;0;Психиарт кабинет не закрыл и пациенты пишут с его аккаунта;0
Ж;Женские форумы;1;Казлины классные ?;0
М;Женские форумы;0;Мужчины рождённые бесить жензло своим совершенством,как внешне так и внутренне. Лёгкость, возвышенность, наличие восприятия чувства прекрасного, разумность.Жензло только и могут, что с!рать, ж!рать и спать, и внешка уровня обезьяны пальмы, считающаяся в мире эталоном женской привлекательности.;0
М;Женские форумы;8;В чем они не правы?;0
Ж;Женские форумы;1;[id200083577|Андрей], кто;0
М;Женские форумы;2;[id14545634|Ksenija], они.;0
М;Женские форумы;87;Что же это может значить ??????????????;0
Ж;Женские форумы;4;[id210943501|Даниил], а в ответ: молчание…;0
М;Женские форумы;74;[id510619355|Kate], молчание из Дагестана, а потом из Турции...;0
Ж;Женские форумы;0;[id210943501|Даниил], причина её молчания, по мнению парня;0
М;Женские форумы;37;[id510619355|Kate], причина её молчания на самом деле;0
М;Женские форумы;0;[id210943501|Даниил], очевидно, что просто любит наслаждаться культурой и кухней в одиночку. Я вот тоже не хожу в кинотеатры, а предпочитаю дома смотреть фильмы;2
М;Женские форумы;1;Да уж, вот это любовь;0
Ж;Женские форумы;19;Ещё чтоб совсем комбо собрать, надо было написать что после Турции она заедет в Эфиопию, а на обратном пути в Армению.;2
М;Женские форумы;48;Пока ее нет надо пробовать анальный секс и не беспокоиться. Так как она его тоже попробует, скорее всего.;0
М;Женские форумы;0;[id14597799|Максим], золотые слова;0
Ж;Женские форумы;57;Правильно, пусть кАзлина дома сидит;0
М;Женские форумы;1;[id284722152|Елизавета], твоя мать-потаскуха тоже ездила без отца в Турцию? Тебя нагуляли?;2
Ж;Женские форумы;37;[id588222129|Руслан], каким надо быть долбаебом-инцелом, чтобы так реагировать на юмор. А ведь кто-то тебя вынашивал 9 месяцев, рожал в муках и мечтал, что станешь самым красивым/успешным/умным. Очень жаль;2
М;Женские форумы;0;[id284722152|Елизавета], тебя обидел мужчина?  Мне тебя жаль, выздоравливай.;3
Ж;Женские форумы;6;[id588222129|Руслан], били только по праздникам и только по попе;0
М;Женские форумы;1;[id284722152|Елизавета], мне тебя жаль, ты такая же как все женщины, одинаковая;2
М;Женские форумы;0;[id588222129|Руслан], За обобществление групп по определенному признаку в негативном ключе у нас есть административная ответственность;0
М;Женские форумы;0;[id197021932|Никита], у кого у вас, петух;1
Ж;Женские форумы;8;Тут или ей парень совсем не важен, или она стыдиться его друзьям показывать (что в целом про первый же пункт);3
М;Женские форумы;41;"[id343076996|Дарья], если бы я был девушкой, и ехал в отпуск в Дагестан и Турцию, то тоже бы не стал показывать своим ""друзьям)))"" парня. А то как-то неловко с ""друзьями)))"" ""тусить"" прям на глазах у парня";0
Ж;Женские форумы;7;[id74254005|Антон], ну, тут уже все про измену пишут, я все же хочу быть оригинальной и рассмотреть все возможные варианты. Но скорее смущает апелляция к полу тут. Если парень едет в отпуск без девушки, это тоже в первую очередь говорит об изменах?;0
М;Женские форумы;25;"[id343076996|Дарья], если она хочет поехать с ним и готова оплатить часть расходов, а он такой ""да не, я там с компанией, ты там не нужна"", то естественно. Какой должен быть уровень наивности, чтоб проглотить это";5
Ж;Женские форумы;0;[id74254005|Антон], я и не пишу о том, чтобы прощать такое или оправдывать, просто, расматриваю причины возможные. Автору поста на форуме соболезную в любом случае);4
Ж;Женские форумы;7;[id343076996|Дарья], может, просто отдохнуть от него хочет. Я люблю своего мужа, никогда ему не изменяла и не собиралась, но иногда рада провести время с друзьями без него, успеваешь отдохнуть и соскучиться;4
М;Женские форумы;0;[id343076996|Дарья], конечно, да. Непонятная «компания» и полное нежелание ехать именно со своей девушкой так же говорит об изменах;0
